SKU,Nombre_Producto,Categoria,Proveedor,Costo_Unitario,Precio_Venta,Stock_Actual,Stock_Minimo,Ultima_Reposicion,headers,params,query,body,webhookUrl,executionMode
REG-001,"Taza Cerámica ""Mejor Mamá""",Hogar,Cerámicas Del Valle,2.50,1000,45,10,2023-10-15,,,,,,
REG-002,Oso de Peluche Gigante 1m,Juguetes,Mundo Peluche SA,15.00,45.00,8,5,2023-09-20,,,,,,
REG-003,Agenda Ejecutiva 2024 Piel,Papelería,Oficina Global,6.00,18.50,120,20,2023-11-01,,,,,,
REG-004,Vela Aromática Vainilla/Canela,Hogar,Aromas Naturales,3.20,12.00,33,15,2023-10-28,,,,,,
REG-005,Llavero Metálico Inicial 'A',Accesorios,Importaciones China,0.80,4.50,200,50,2023-08-15,,,,,,
REG-006,Set de Baño Spa Lavanda,Cuidado Personal,BioBelleza,12.50,35.00,12,8,2023-10-05,,,,,,
REG-007,"Globo Metálico ""Feliz Cumpleaños""",Fiesta,PartyTime Inc,0.40,2.50,500,100,2023-11-10,,,,,,
REG-008,Collar Plata Fantasía Corazón,Joyería,Bisutería Fina,4.50,15.99,22,10,2023-09-12,,,,,,
REG-009,Marco de Fotos Madera 10x15,Hogar,DecorHome,3.00,9.99,40,15,2023-10-20,,,,,,
REG-010,Caja de Chocolates Gourmet 12pz,Gourmet,Dulces Momentos,5.50,14.00,18,20,2023-11-12,,,,,,
REG-011,Tarjeta Felicitación 3D Genérica,Papelería,PapelArte,1.10,5.50,150,40,2023-07-30,,,,,,
REG-012,"Juego de Mesa ""Detective""",Juguetes,FunGames,10.00,29.99,14,6,2023-09-25,,,,,,
REG-013,Botella de Agua Reutilizable Inox,Accesorios,EcoVida,7.00,19.99,25,12,2023-10-01,,,,,,
REG-014,Set Bolígrafos Gel Neón,Papelería,Oficina Global,2.20,6.50,60,20,2023-10-18,,,,,,
REG-015,Bufanda Tejida Invierno,Ropa,Moda Textil,4.00,14.50,8,15,2023-02-15,,,,,,
REG-016,Caja Musical Madera Vintage,Hogar,Antigüedades Modernas,18.00,49.99,5,3,2023-08-20,,,,,,
REG-017,Pack Calcetines Divertidos (3 pares),Ropa,Moda Textil,3.50,12.00,45,15,2023-10-10,,,,,,
REG-018,Pulsera Hilo Rojo Ojo Turco,Joyería,Bisutería Fina,1.20,5.00,85,30,2023-09-01,,,,,,
REG-019,Bolsa de Regalo Grande Holográfica,Papelería,PapelArte,0.60,2.50,300,50,2023-11-05,,,,,,
REG-020,Kit Siembra Tu Planta (Menta),Hogar,EcoVida,3.50,9.50,15,10,2023-06-12,,,,,,
REG-021,Rompecabezas 1000 Piezas Paisaje,Juguetes,FunGames,8.00,22.50,10,8,2023-09-15,,,,,,
REG-022,Taza Térmica Viaje 500ml,Hogar,Importaciones China,5.00,14.99,30,12,2023-10-22,,,,,,
REG-023,Antifaz para Dormir Seda,Cuidado Personal,BioBelleza,2.00,8.00,25,10,2023-08-05,,,,,,
REG-024,Libreta Notas Adhesivas Kawaii,Papelería,Oficina Global,1.50,4.99,55,20,2023-10-12,,,,,,
REG-025,Lámpara Luna 3D LED,Hogar,Importaciones China,9.00,24.99,11,5,2023-11-02,,,,,,
REG-026,Set Herramientas Jardinería Mini,Hogar,EcoVida,6.50,18.00,7,5,2023-05-20,,,,,,
REG-027,Gafas de Sol Estilo Retro,Accesorios,Moda Textil,3.00,12.99,14,10,2023-07-15,,,,,,
REG-028,Funko Pop Figura Coleccionable,Juguetes,ToysDistro,9.50,18.00,6,4,2023-10-30,,,,,,
REG-029,Cojín Decorativo Lentejuelas,Hogar,DecorHome,5.50,16.50,20,8,2023-09-10,,,,,,
